ID,Name,Code3,Code2,"Area
(km)",Population,Density,Sub_region,Column1,Needed,Column3,Column2,EU accession date,Schengen Area member,Eurozone member,Flag
1,Albania,ALB,al,28748,2876591,98.5,Southern Europe,Non-EU,1,Western Balkans,Western Balkans,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
2,Andorra,AND,ad,468,77281,179.8,Southern Europe,Non-EU,0,,,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
3,Austria,AUT,at,83858,8823054,104,Western Europe,EU,0,,,"January 1, 1995",Yes,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
4,Belarus,BLR,by,207560,9504700,45.8,Eastern Europe,Non-EU,0,,,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
5,Belgium,BEL,be,30528,11358357,372.06,Western Europe,EU,0,,,"March 25, 1957",Yes,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
6,Bosnia and Herzegovina,BIH,ba,51129,3531159,68.97,Southern Europe,Non-EU,1,Western Balkans,Western Balkans,,No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
7,Bulgaria,BGR,bg,110910,7101859,64.9,Eastern Europe,EU,1,Eastern Europe,New EU,"January 1, 2007",No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
8,Croatia,HRV,hr,56542,4284889,75.8,Southern Europe,EU,1,Southern Europe,New EU,"July 1, 2013",No,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
9,Cyprus,CYP,cy,9251,1170125,123.4,Southern Europe,EU,1,Mediterranean,New EU,"May 1, 2004",No,Yes,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
10,Czechia,CZE,cz,78866,10610947,134,Eastern Europe,EU,1,Central Europe,New EU,"May 1, 2004",Yes,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
11,Denmark,DNK,dk,43094,5748796,133.9,Northern Europe,EU,0,,,"January 1, 1973",Yes,No,"https://raw.githubusercontent.com/stefangabos/world_countries/master/flags/&""&.png"
